Invoice Number,Customer Name,Total Amount,Base Amount,Tax Amount,TDS Section,TDS Rate,Issue Date,Status
INV-KAG-0027,"Swiggy Bundl Technologies",5017,4251.69,765.31,194J,10,2026-01-28,UNPAID
INV-KAG-0028,"Zomato Media Logistics",5000,4237.29,762.71,194H,5,2026-01-29,UNPAID
INV-KAG-0029,"Razorpay Software Pvt Ltd",5173,4383.9,789.1,194J,10,2026-01-30,UNPAID
INV-KAG-0030,"Flipkart India Internet",6713,5688.98,1024.02,NONE,0,2026-01-31,UNPAID
INV-KAG-0031,"Tata Consultancy Services",12142,10289.83,1852.17,194C,2,2026-02-01,UNPAID
INV-KAG-0032,"Infosys BPM Ltd",24960,21152.54,3807.46,194J,10,2026-02-02,UNPAID
INV-KAG-0033,"Reliance Retail Ltd",49125,41631.36,7493.64,194H,5,2026-02-03,UNPAID
INV-KAG-0034,"Bharti Airtel Enterprise",88445,74953.39,13491.61,194J,10,2026-02-04,UNPAID
INV-KAG-0035,"HCL Technologies Pvt Ltd",145951,123687.29,22263.71,NONE,0,2026-02-05,UNPAID
INV-KAG-0036,"Larsen & Toubro Infotech",223332,189264.41,34067.59,194C,2,2026-02-06,UNPAID
INV-KAG-0037,"Swiggy Bundl Technologies",320507,271616.1,48890.9,194J,10,2026-02-07,UNPAID
INV-KAG-0038,"Zomato Media Logistics",435374,368961.02,66412.98,194H,5,2026-02-08,UNPAID
INV-KAG-0039,"Razorpay Software Pvt Ltd",563800,477796.61,86003.39,194J,10,2026-02-09,UNPAID
INV-KAG-0040,"Flipkart India Internet",699827,593073.73,106753.27,NONE,0,2026-02-10,UNPAID
INV-KAG-0041,"Tata Consultancy Services",836102,708561.02,127540.98,194C,2,2026-02-11,UNPAID
INV-KAG-0042,"Infosys BPM Ltd",964489,817363.56,147125.44,194J,10,2026-02-12,UNPAID
INV-KAG-0043,"Reliance Retail Ltd",1076775,912521.19,164253.81,194H,5,2026-02-13,UNPAID
INV-KAG-0044,"Bharti Airtel Enterprise",1165433,987655.08,177777.92,194J,10,2026-02-14,UNPAID
INV-KAG-0045,"HCL Technologies Pvt Ltd",1224322,1037561.02,186760.98,NONE,0,2026-02-15,UNPAID
INV-KAG-0046,"Larsen & Toubro Infotech",1249281,1058712.71,190568.29,194C,2,2026-02-16,UNPAID
INV-KAG-0047,"Swiggy Bundl Technologies",1238527,1049599.15,188927.85,194J,10,2026-02-17,UNPAID
INV-KAG-0048,"Zomato Media Logistics",1192830,1010872.88,181957.12,194H,5,2026-02-18,UNPAID
INV-KAG-0049,"Razorpay Software Pvt Ltd",1115436,945284.75,170151.25,194J,10,2026-02-19,UNPAID
INV-KAG-0050,"Flipkart India Internet",1011756,857420.34,154335.66,NONE,0,2026-02-20,UNPAID
INV-KAG-0051,"Tata Consultancy Services",888842,753255.93,135586.07,194C,2,2026-02-21,UNPAID
INV-KAG-0052,"Infosys BPM Ltd",754723,639595.76,115127.24,194J,10,2026-02-22,UNPAID
INV-KAG-0053,"Reliance Retail Ltd",617656,523437.29,94218.71,194H,5,2026-02-23,UNPAID
INV-KAG-0054,"Bharti Airtel Enterprise",485387,411344.92,74042.08,194J,10,2026-02-24,UNPAID
INV-KAG-0055,"HCL Technologies Pvt Ltd",364493,308892.37,55600.63,NONE,0,2026-02-25,UNPAID
INV-KAG-0056,"Larsen & Toubro Infotech",259877,220234.75,39642.25,194C,2,2026-02-26,UNPAID
INV-KAG-0057,"Swiggy Bundl Technologies",174464,147850.85,26613.15,194J,10,2026-02-27,UNPAID
INV-KAG-0058,"Zomato Media Logistics",109123,92477.12,16645.88,194H,5,2026-02-28,UNPAID
INV-KAG-0059,"Razorpay Software Pvt Ltd",62833,53248.31,9584.69,194J,10,2026-03-01,UNPAID
INV-KAG-0060,"Flipkart India Internet",33036,27996.61,5039.39,NONE,0,2026-03-02,UNPAID
INV-KAG-0061,"Tata Consultancy Services",16162,13696.61,2465.39,194C,2,2026-03-03,UNPAID
INV-KAG-0062,"Infosys BPM Ltd",8238,6981.36,1256.64,194J,10,2026-03-04,UNPAID
INV-KAG-0063,"Reliance Retail Ltd",5511,4670.34,840.66,194H,5,2026-03-05,UNPAID
INV-KAG-0064,"Bharti Airtel Enterprise",5014,4249.15,764.85,194J,10,2026-03-06,UNPAID
INV-KAG-0065,"HCL Technologies Pvt Ltd",5001,4238.14,762.86,NONE,0,2026-03-07,UNPAID
INV-KAG-0066,"Larsen & Toubro Infotech",5196,4403.39,792.61,194C,2,2026-03-08,UNPAID
INV-KAG-0067,"Swiggy Bundl Technologies",6835,5792.37,1042.63,194J,10,2026-03-09,UNPAID
INV-KAG-0068,"Zomato Media Logistics",12488,10583.05,1904.95,194H,5,2026-03-10,UNPAID
INV-KAG-0069,"Razorpay Software Pvt Ltd",25683,21765.25,3917.75,194J,10,2026-03-11,UNPAID
INV-KAG-0070,"Flipkart India Internet",50386,42700,7686,NONE,0,2026-03-12,UNPAID
INV-KAG-0071,"Tata Consultancy Services",90384,76596.61,13787.39,194C,2,2026-03-13,UNPAID
INV-KAG-0072,"Infosys BPM Ltd",148665,125987.29,22677.71,194J,10,2026-03-14,UNPAID
INV-KAG-0073,"Reliance Retail Ltd",226854,192249.15,34604.85,194H,5,2026-03-15,UNPAID
INV-KAG-0074,"Bharti Airtel Enterprise",324792,275247.46,49544.54,194J,10,2026-03-16,UNPAID
INV-KAG-0075,"HCL Technologies Pvt Ltd",440296,373132.2,67163.8,NONE,0,2026-03-17,UNPAID
INV-KAG-0076,"Larsen & Toubro Infotech",569152,482332.2,86819.8,194C,2,2026-03-18,UNPAID
INV-KAG-0077,"Swiggy Bundl Technologies",705337,597743.22,107593.78,194J,10,2026-03-19,UNPAID
INV-KAG-0078,"Zomato Media Logistics",841456,713098.31,128357.69,194H,5,2026-03-20,UNPAID
INV-KAG-0079,"Razorpay Software Pvt Ltd",969353,821485.59,147867.41,194J,10,2026-03-21,UNPAID
INV-KAG-0080,"Flipkart India Internet",1080830,915957.63,164872.37,NONE,0,2026-03-22,UNPAID
INV-KAG-0081,"Tata Consultancy Services",1168401,990170.34,178230.66,194C,2,2026-03-23,UNPAID
INV-KAG-0082,"Infosys BPM Ltd",1225996,1038979.66,187016.34,194J,10,2026-03-24,UNPAID
INV-KAG-0083,"Reliance Retail Ltd",1249541,1058933.05,190607.95,194H,5,2026-03-25,UNPAID
INV-KAG-0084,"Bharti Airtel Enterprise",1237354,1048605.08,188748.92,194J,10,2026-03-26,UNPAID
INV-KAG-0085,"HCL Technologies Pvt Ltd",1190308,1008735.59,181572.41,NONE,0,2026-03-27,UNPAID
INV-KAG-0086,"Larsen & Toubro Infotech",1111743,942155.08,169587.92,194C,2,2026-03-28,UNPAID
INV-KAG-0087,"Swiggy Bundl Technologies",1007147,853514.41,153632.59,194J,10,2026-03-29,UNPAID
INV-KAG-0088,"Zomato Media Logistics",883626,748835.59,134790.41,194H,5,2026-03-30,UNPAID
INV-KAG-0089,"Razorpay Software Pvt Ltd",749231,634941.53,114289.47,194J,10,2026-03-31,UNPAID
INV-KAG-0090,"Flipkart India Internet",612213,518824.58,93388.42,NONE,0,2026-04-01,UNPAID
INV-KAG-0091,"Tata Consultancy Services",480283,407019.49,73263.51,194C,2,2026-04-02,UNPAID
INV-KAG-0092,"Infosys BPM Ltd",359960,305050.85,54909.15,194J,10,2026-04-03,UNPAID
INV-KAG-0093,"Reliance Retail Ltd",256072,217010.17,39061.83,194H,5,2026-04-04,UNPAID
INV-KAG-0094,"Bharti Airtel Enterprise",171459,145304.24,26154.76,194J,10,2026-04-05,UNPAID
INV-KAG-0095,"HCL Technologies Pvt Ltd",106914,90605.08,16308.92,NONE,0,2026-04-06,UNPAID
INV-KAG-0096,"Larsen & Toubro Infotech",61342,51984.75,9357.25,194C,2,2026-04-07,UNPAID
INV-KAG-0097,"Swiggy Bundl Technologies",32137,27234.75,4902.25,194J,10,2026-04-08,UNPAID
INV-KAG-0098,"Zomato Media Logistics",15699,13304.24,2394.76,194H,5,2026-04-09,UNPAID
INV-KAG-0099,"Razorpay Software Pvt Ltd",8051,6822.88,1228.12,194J,10,2026-04-10,UNPAID
INV-KAG-0100,"Flipkart India Internet",5464,4630.51,833.49,NONE,0,2026-04-11,UNPAID
