Date,Narration,Credit,UTR
2026-01-17,"NEFT/SBI/LARSEN-TOUBRO-INFOTECH/1NV-KAG-0016/LESS-2PCT-TDS/UTR-SBIN488342550015",610644.86,SBIN488342550015
2026-01-18,"NEFT/KOTAK/SWIGGY-BUNDL-TECHNOLOGIES/INV-KAG-0017/LESS-10PCT-TDS/UTR-KOTAKN488342560016",441458.1,KOTAKN488342560016
2026-01-19,"NEFT/INDUSIND/ZOMATO-MEDIA-LOGISTICS/INV-KAG-0018/LESS-5PCT-TDS/UTR-INDUSINDN488342570017",350600.35,INDUSINDN488342570017
2026-01-20,"NEFT/AXIS/RAZORPAY-SOFTWARE-PVT-LTD/INV-KAG-0019/LESS-10PCT-TDS/UTR-AXISN488342580018",241365.36,AXISN488342580018
2026-01-21,"RTGS/HDFC/FLIPKART-INDIA-INTERNET/INV-KAG-0020/FULL-PAYMENT/HDFCN488342590019",177501,HDFCN488342590019
2026-01-22,"NEFT/ICICI/TATA-CONSULTANCY-SERVICES/INV-KAG-0021/LESS-2PCT-TDS/UTR-ICICIN488342600020",109136.72,ICICIN488342600020
2026-01-23,"NEFT/SBI/INFOSYS-BPM-LTD/INV-KAG-0022/LESS-10PCT-TDS/UTR-SBIN488342610021",57915,SBIN488342610021
2026-01-24,"NEFT/KOTAK/RELIANCE-RETAIL-LTD/INV-KAG-0023/LESS-5PCT-TDS/UTR-KOTAKN488342620022",32258.2,KOTAKN488342620022
2026-01-25,"NEFT/INDUSIND/BHARTI-AIRTEL-ENTERPRISE/INV-KAG-0024/LESS-10PCT-TDS/UTR-INDUSINDN488342630023",15229.83,INDUSINDN488342630023
2026-01-26,"RTGS/AXIS/HCL-TECHNOLOGIES-PVT-LTD/INV-KAG-0025/FULL-PAYMENT/AXISN488342640024",8432,AXISN488342640024
2026-01-27,"CMS-PAYMENT-REMITTANCE-LARSEN-TOUBRO-INFOTECH-SETTLEMENT-AGAINST-INV-KAG-0026-NET-OF-TDS",5449.78,HDFCN488342650025
2026-01-28,"NEFT/ICICI/SWIGGY-BUNDL-TECHNOLOGIES/INV-KAG-0027/LESS-10PCT-TDS/UTR-ICICIN488342660026",4515.3,ICICIN488342660026
2026-01-29,"NEFT/SBI/ZOMATO-MEDIA-LOGISTICS/INV-KAG-0028/LESS-5PCT-TDS/UTR-SBIN488342670027",4750,SBIN488342670027
2026-01-30,"NEFT/KOTAK/RAZORPAY-SOFTWARE-PVT-LTD/INV-KAG-0029/LESS-10PCT-TDS/UTR-KOTAKN488342680028",4734.61,KOTAKN488342680028
2026-01-31,"RTGS/INDUSIND/FLIPKART-INDIA-INTERNET/INV-KAG-0030/FULL-PAYMENT/INDUSINDN488342690029",6713,INDUSINDN488342690029
2026-02-01,"NEFT/AXIS/TATA-CONSULTANCY-SERVICES/INV-KAG-0031/LESS-2PCT-TDS/UTR-AXISN488342700030",11899.16,AXISN488342700030
2026-02-02,"NEFT/HDFC/INFOSYS-BPM-LTD/INV-KAG-0032/LESS-10PCT-TDS/UTR-HDFCN488342710031",22464,HDFCN488342710031
2026-02-03,"NEFT/ICICI/RELIANCE-RETAIL-LTD/INV-KAG-0033/LESS-5PCT-TDS/UTR-ICICIN488342720032",46668.75,ICICIN488342720032
2026-02-04,"NEFT/SBI/BHARTI-AIRTEL-ENTERPRISE/INV-KAG-0034/LESS-10PCT-TDS/UTR-SBIN488342730033",80949.66,SBIN488342730033
2026-02-05,"RTGS/KOTAK/HCL-TECHNOLOGIES-PVT-LTD/INV-KAG-0035/FULL-PAYMENT/KOTAKN488342740034",145951,KOTAKN488342740034
2026-02-06,"NEFT/INDUSIND/LARSEN-TOUBRO-INFOTECH/INV-KAG-0036/LESS-2PCT-TDS/UTR-INDUSINDN488342750035",218865.36,INDUSINDN488342750035
2026-02-07,"NEFT/AXIS/SWIGGY-BUNDL-TECHNOLOGIES/INV-KAG-0037/LESS-10PCT-TDS/UTR-AXISN488342760036",288456.3,AXISN488342760036
2026-02-08,"NEFT/HDFC/ZOMATO-MEDIA-LOGISTICS/INV-KAG-0038/LESS-5PCT-TDS/UTR-HDFCN488342770037",413605.3,HDFCN488342770037
2026-02-09,"NEFT/ICICI/RAZORPAY-SOFTWARE-PVT-LTD/INV-KAG-0039/LESS-10PCT-TDS/UTR-ICICIN488342780038",516020.34,ICICIN488342780038
2026-02-10,"RTGS/SBI/FLIPKART-INDIA-INTERNET/INV-KAG-0040/FULL-PAYMENT/SBIN488342790039",699827,SBIN488342790039
2026-02-11,"NEFT/KOTAK/TATA-CONSULTANCY-SERVICES/INV-KAG-0041/LESS-2PCT-TDS/UTR-KOTAKN488342810040",819379.96,KOTAKN488342810040
2026-02-12,"NEFT/INDUSIND/INFOSYS-BPM-LTD/INV-KAG-0042/LESS-10PCT-TDS/UTR-INDUSINDN488342820041",868040.1,INDUSINDN488342820041
2026-02-13,"NEFT/AXIS/RELIANCE-RETAIL-LTD/INV-KAG-0043/LESS-5PCT-TDS/UTR-AXISN488342830042",1022936.25,AXISN488342830042
2026-02-14,"NEFT/HDFC/BHARTI-AIRTEL-ENTERPRISE/INV-KAG-0044/LESS-10PCT-TDS/UTR-HDFCN488342840043",1066667.49,HDFCN488342840043
2026-02-15,"RTGS/ICICI/HCL-TECHNOLOGIES-PVT-LTD/INV-KAG-0045/FULL-PAYMENT/ICICIN488342850044",1224322,ICICIN488342850044
2026-02-16,"NEFT/SBI/LARSEN-TOUBRO-INFOTECH/INV-KAG-0046/LESS-2PCT-TDS/UTR-SBIN488342860045",1224295.38,SBIN488342860045
2026-02-17,"NEFT/KOTAK/SWIGGY-BUNDL-TECHNOLOGIES/INV-KAG-0047/LESS-10PCT-TDS/UTR-KOTAKN488342870046",1114674.3,KOTAKN488342870046
2026-02-18,"NEFT/INDUSIND/ZOMATO-MEDIA-LOGISTICS/INV-KAG-0048/LESS-5PCT-TDS/UTR-INDUSINDN488342880047",1133188.5,INDUSINDN488342880047
2026-02-19,"NEFT/AXIS/RAZORPAY-SOFTWARE-PVT-LTD/INV-KAG-0049/LESS-10PCT-TDS/UTR-AXISN488342890048",1020907.52,AXISN488342890048
2026-02-20,"SETTL/HDFC/WIRE-FEE-NETTED/FLIPKART-INDIA-INTERNET/INV-KAG-0050/HDFCN488342900049",1011506,HDFCN488342900049
2026-02-21,"NEFT/ICICI/TATA-CONSULTANCY-SERVICES/INV-KAG-0051/LESS-2PCT-TDS/UTR-ICICIN488342910050",871065.16,ICICIN488342910050
2026-02-22,"NEFT/SBI/INFOSYS-BPM-LTD/INV-KAG-0052/LESS-10PCT-TDS/UTR-SBIN488342920051",679250.7,SBIN488342920051
2026-02-23,"NEFT/KOTAK/RELIANCE-RETAIL-LTD/INV-KAG-0053/LESS-5PCT-TDS/UTR-KOTAKN488342930052",586773.2,KOTAKN488342930052
2026-02-24,"NEFT/INDUSIND/BHARTI-AIRTEL-ENTERPRISE/INV-KAG-0054/LESS-10PCT-TDS/UTR-INDUSINDN488342940053",444252.51,INDUSINDN488342940053
2026-02-25,"RTGS/AXIS/HCL-TECHNOLOGIES-PVT-LTD/INV-KAG-0055/FULL-PAYMENT/AXISN488342950054",364493,AXISN488342950054
2026-02-26,"NEFT/HDFC/LARSEN-TOUBRO-INFOTECH/INV-KAG-0056/LESS-2PCT-TDS/UTR-HDFCN488342960055",254679.46,HDFCN488342960055
2026-02-27,"NEFT/ICICI/SWIGGY-BUNDL-TECHNOLOGIES/INV-KAG-0057/LESS-10PCT-TDS/UTR-ICICIN488342970056",157017.6,ICICIN488342970056
2026-02-28,"NEFT/SBI/ZOMATO-MEDIA-LOGISTICS/INV-KAG-0058/LESS-5PCT-TDS/UTR-SBIN488342980057",103666.85,SBIN488342980057
2026-03-01,"NEFT/KOTAK/RAZORPAY-SOFTWARE-PVT-LTD/INV-KAG-0059/LESS-10PCT-TDS/UTR-KOTAKN488342990058",57508.17,KOTAKN488342990058
2026-03-02,"RTGS/INDUSIND/FLIPKART-INDIA-INTERNET/INV-KAG-0060/FULL-PAYMENT/INDUSINDN488343000059",33036,INDUSINDN488343000059
2026-03-03,"NEFT/AXIS/TATA-CONSULTANCY-SERVICES/INV-KAG-0061/LESS-2PCT-TDS/UTR-AXISN488343010060",15838.76,AXISN488343010060
2026-03-04,"NEFT/HDFC/INFOSYS-BPM-LTD/INV-KAG-0062/LESS-10PCT-TDS/UTR-HDFCN488343020061",7414.2,HDFCN488343020061
2026-03-05,"NEFT/ICICI/RELIANCE-RETAIL-LTD/INV-KAG-0063/LESS-5PCT-TDS/UTR-ICICIN488343030062",5235.45,ICICIN488343030062
2026-03-06,"NEFT/SBI/BHARTI-AIRTEL-ENTERPRISE/INV-KAG-0064/LESS-10PCT-TDS/UTR-SBIN488343040063",4589.09,SBIN488343040063
2026-03-07,"RTGS/KOTAK/HCL-TECHNOLOGIES-PVT-LTD/INV-KAG-0065/FULL-PAYMENT/KOTAKN488343050064",5001,KOTAKN488343050064
2026-03-08,"NEFT/INDUSIND/LARSEN-TOUBRO-INFOTECH/INV-KAG-0066/LESS-2PCT-TDS/UTR-INDUSINDN488343060065",5092.08,INDUSINDN488343060065
2026-03-09,"NEFT/AXIS/SWIGGY-BUNDL-TECHNOLOGIES/INV-KAG-0067/LESS-10PCT-TDS/UTR-AXISN488343070066",6151.5,AXISN488343070066
2026-03-10,"NEFT/HDFC/ZOMATO-MEDIA-LOGISTICS/INV-KAG-0068/LESS-5PCT-TDS/UTR-HDFCN488343080067",11863.6,HDFCN488343080067
2026-03-11,"NEFT/ICICI/RAZORPAY-SOFTWARE-PVT-LTD/INV-KAG-0069/LESS-10PCT-TDS/UTR-ICICIN488343090068",23506.47,ICICIN488343090068
2026-03-12,"RTGS/SBI/FLIPKART-INDIA-INTERNET/INV-KAG-0070/FULL-PAYMENT/SBIN488343100069",50386,SBIN488343100069
2026-03-13,"NEFT/KOTAK/TATA-CONSULTANCY-SERVICES/INV-KAG-0071/LESS-2PCT-TDS/UTR-KOTAKN488343110070",88576.32,KOTAKN488343110070
2026-03-14,"NEFT/INDUSIND/INFOSYS-BPM-LTD/INV-KAG-0072/LESS-10PCT-TDS/UTR-INDUSINDN488343120071",133798.5,INDUSINDN488343120071
2026-03-15,"NEFT/AXIS/RELIANCE-RETAIL-LTD/INV-KAG-0073/LESS-5PCT-TDS/UTR-AXISN488343130072",215511.3,AXISN488343130072
2026-03-16,"NEFT/HDFC/BHARTI-AIRTEL-ENTERPRISE/INV-KAG-0074/LESS-10PCT-TDS/UTR-HDFCN488343140073",297267.25,HDFCN488343140073
2026-03-17,"RTGS/ICICI/HCL-TECHNOLOGIES-PVT-LTD/INV-KAG-0075/FULL-PAYMENT/ICICIN488343150074",440296,ICICIN488343150074
2026-03-18,"NEFT/SBI/LARSEN-TOUBRO-INFOTECH/INV-KAG-0076/LESS-2PCT-TDS/UTR-SBIN488343160075",557768.96,SBIN488343160075
2026-03-19,"NEFT/KOTAK/SWIGGY-BUNDL-TECHNOLOGIES/INV-KAG-0077/LESS-10PCT-TDS/UTR-KOTAKN488343170076",634803.3,KOTAKN488343170076
2026-03-20,"NEFT/INDUSIND/ZOMATO-MEDIA-LOGISTICS/INV-KAG-0078/LESS-5PCT-TDS/UTR-INDUSINDN488343180077",799383.2,INDUSINDN488343180077
2026-03-21,"NEFT/AXIS/RAZORPAY-SOFTWARE-PVT-LTD/INV-KAG-0079/LESS-10PCT-TDS/UTR-AXISN488343190078",887204.44,AXISN488343190078
2026-03-22,"RTGS/HDFC/FLIPKART-INDIA-INTERNET/INV-KAG-0080/FULL-PAYMENT/HDFCN488343200079",1080830,HDFCN488343200079
2026-03-23,"NEFT/ICICI/TATA-CONSULTANCY-SERVICES/INV-KAG-0081/LESS-2PCT-TDS/UTR-ICICIN488343210080",1145032.98,ICICIN488343210080
2026-03-24,"NEFT/SBI/INFOSYS-BPM-LTD/INV-KAG-0082/LESS-10PCT-TDS/UTR-SBIN488343220081",1103396.4,SBIN488343220081
2026-03-25,"NEFT/KOTAK/RELIANCE-RETAIL-LTD/INV-KAG-0083/LESS-5PCT-TDS/UTR-KOTAKN488343230082",1187063.95,KOTAKN488343230082
2026-03-26,"NEFT/INDUSIND/BHARTI-AIRTEL-ENTERPRISE/INV-KAG-0084/LESS-10PCT-TDS/UTR-INDUSINDN488343240083",1132493.49,INDUSINDN488343240083
2026-03-27,"SETTL/AXIS/WIRE-FEE-NETTED/HCL-TECHNOLOGIES-PVT-LTD/INV-KAG-0085/AXISN488343250084",1190058,AXISN488343250084
2026-03-28,"NEFT/HDFC/LARSEN-TOUBRO-INFOTECH/INV-KAG-0086/LESS-2PCT-TDS/UTR-HDFCN488343260085",1089508.14,HDFCN488343260085
2026-03-29,"NEFT/ICICI/SWIGGY-BUNDL-TECHNOLOGIES/INV-KAG-0087/LESS-10PCT-TDS/UTR-ICICIN488343270086",906432.3,ICICIN488343270086
2026-03-30,"NEFT/SBI/ZOMATO-MEDIA-LOGISTICS/INV-KAG-0088/LESS-5PCT-TDS/UTR-SBIN488343280087",839444.7,SBIN488343280087
2026-03-31,"NEFT/KOTAK/RAZORPAY-SOFTWARE-PVT-LTD/INV-KAG-0089/LESS-10PCT-TDS/UTR-KOTAKN488343290088",685736.85,KOTAKN488343290088
2026-04-01,"RTGS/INDUSIND/FLIPKART-INDIA-INTERNET/INV-KAG-0090/FULL-PAYMENT/INDUSINDN488343300089",612213,INDUSINDN488343300089
2026-04-02,"NEFT/AXIS/TATA-CONSULTANCY-SERVICES/INV-KAG-0091/LESS-2PCT-TDS/UTR-AXISN488343310090",470677.34,AXISN488343310090
2026-04-03,"NEFT/HDFC/INFOSYS-BPM-LTD/INV-KAG-0092/LESS-10PCT-TDS/UTR-HDFCN488343320091",323964,HDFCN488343320091
2026-04-04,"NEFT/ICICI/RELIANCE-RETAIL-LTD/INV-KAG-0093/LESS-5PCT-TDS/UTR-ICICIN488343330092",243268.4,ICICIN488343330092
2026-04-05,"NEFT/SBI/BHARTI-AIRTEL-ENTERPRISE/INV-KAG-0094/LESS-10PCT-TDS/UTR-SBIN488343340093",156928.58,SBIN488343340093
2026-04-06,"RTGS/KOTAK/HCL-TECHNOLOGIES-PVT-LTD/INV-KAG-0095/FULL-PAYMENT/KOTAKN488343350094",106914,KOTAKN488343350094
2026-04-07,"NEFT/INDUSIND/LARSEN-TOUBRO-INFOTECH/INV-KAG-0096/LESS-2PCT-TDS/UTR-INDUSINDN488343360095",60115.16,INDUSINDN488343360095
2026-04-08,"NEFT/AXIS/SWIGGY-BUNDL-TECHNOLOGIES/INV-KAG-0097/LESS-10PCT-TDS/UTR-AXISN488343370096",28923.3,AXISN488343370096
2026-04-09,"NEFT/HDFC/ZOMATO-MEDIA-LOGISTICS/INV-KAG-0098/LESS-5PCT-TDS/UTR-HDFCN488343380097",14914.05,HDFCN488343380097
2026-04-10,"NEFT/ICICI/RAZORPAY-SOFTWARE-PVT-LTD/INV-KAG-0099/LESS-10PCT-TDS/UTR-ICICIN488343390098",7368.71,ICICIN488343390098
2026-04-11,"RTGS/SBI/FLIPKART-INDIA-INTERNET/INV-KAG-0100/FULL-PAYMENT/SBIN488343400099",5464,SBIN488343400099
