Transaction ID,Date,Account Type,Transaction Amount,Cash Flow,Net Income,Revenue,Expenditure,Profit Margin,Debt-to-Equity Ratio,Operating Expenses,Gross Profit,Transaction Volume,Processing Time (seconds),Accuracy Score,Missing Data Indicator,Normalized Transaction Amount,Transaction Outcome
TXN_0068,2026-03-10,Revenue,12488,12488,-274,12488,9116,-2.19,1.14,3646,3372,24,1.41,0.96,0,0.006,1
TXN_0069,2026-03-11,Expense,25683,-25683,-3082,32874,25683,-9.38,1.27,10273,7191,25,1.48,0.99,0,0.0166,1
TXN_0070,2026-03-12,Asset,50386,10077,6046,20154,10077,30,1.4,4031,10077,26,1.55,0.94,0,0.0365,1
TXN_0071,2026-03-13,Liability,90384,-13558,-29827,27115,40673,-110,1.53,16269,-13558,27,1.62,0.97,0,0.0686,1
TXN_0072,2026-03-14,Revenue,148665,148665,-11596,148665,114472,-7.8,1.66,45789,34193,28,1.69,0.92,0,0.1154,1
TXN_0073,2026-03-15,Expense,226854,-226854,-9075,308521,226854,-2.94,1.79,90742,81667,29,1.76,0.95,0,0.1783,1
TXN_0074,2026-03-16,Asset,324792,64958,38976,129917,64958,30,1.92,25983,64959,30,1.83,0.98,0,0.257,1
TXN_0075,2026-03-17,Liability,440296,-66044,-145297,132089,198133,-110,2.05,79253,-66044,31,1.9,0.93,0,0.3498,1
TXN_0076,2026-03-18,Revenue,569152,569152,122937,569152,318725,21.6,2.18,127490,250427,32,1.97,0.96,0,0.4533,1
TXN_0077,2026-03-19,Expense,705337,-705337,28213,1015685,705337,2.78,0.31,282135,310348,33,2.04,0.99,0,0.5627,1
TXN_0078,2026-03-20,Asset,841456,168291,100975,336582,168291,30,0.44,67316,168291,34,2.11,0.94,0,0.6721,1
TXN_0079,2026-03-21,Liability,969353,-145403,-319887,290806,436209,-110,0.57,174484,-145403,35,2.18,0.97,0,0.7749,1
TXN_0080,2026-03-22,Revenue,1080830,1080830,172933,1080830,648498,16,0.7,259399,432332,36,2.25,0.92,0,0.8644,1
TXN_0081,2026-03-23,Expense,1168401,-1168401,-327152,1308609,1168401,-25,0.83,467360,140208,37,2.32,0.95,0,0.9348,1
TXN_0082,2026-03-24,Asset,1225996,245199,147119,490398,245199,30,0.96,98080,245199,38,2.39,0.98,0,0.9811,1
TXN_0083,2026-03-25,Liability,1249541,-187431,-412348,374862,562293,-110,1.09,224917,-187431,39,2.46,0.93,0,1,1
TXN_0084,2026-03-26,Revenue,1237354,1237354,128684,1237354,791907,10.4,1.22,316763,445447,40,2.53,0.96,0,0.9902,1
TXN_0085,2026-03-27,Expense,1190308,-1190308,-238061,1428370,1190308,-16.67,1.35,476123,238062,41,2.6,0.99,0,0.9524,1
TXN_0086,2026-03-28,Asset,1111743,222349,133408,444697,222349,30,1.48,88940,222348,42,2.67,0.94,0,0.8893,1
TXN_0087,2026-03-29,Liability,1007147,-151072,-332358,302144,453216,-110,1.61,181286,-151072,43,2.74,0.97,0,0.8052,1
TXN_0088,2026-03-30,Revenue,883626,883626,42414,883626,600866,4.8,1.74,240346,282760,44,2.81,0.92,0,0.706,1
TXN_0089,2026-03-31,Expense,749231,-749231,-89907,959016,749231,-9.37,1.87,299692,209785,45,2.88,0.95,0,0.598,1
TXN_0090,2026-04-01,Asset,612213,122443,73465,244885,122443,30,2,48977,122442,1,2.95,0.98,0,0.4879,1
TXN_0091,2026-04-02,Liability,480283,-72042,-158493,144085,216127,-110,2.13,86451,-72042,2,3.02,0.93,0,0.3819,1
TXN_0092,2026-04-03,Revenue,359960,359960,-2879,359960,259171,-0.8,2.26,103668,100789,3,3.09,0.96,0,0.2852,1
TXN_0093,2026-04-04,Expense,256072,-256072,-10243,348258,256072,-2.94,0.39,102429,92186,4,3.16,0.99,0,0.2017,1
TXN_0094,2026-04-05,Asset,171459,34292,20575,68584,34292,30,0.52,13717,34292,5,3.23,0.94,1,0.1338,1
TXN_0095,2026-04-06,Liability,106914,-16037,-35281,32074,48111,-110,0.65,19244,-16037,6,3.3,0.97,0,0.0819,1
TXN_0096,2026-04-07,Revenue,61342,61342,-3926,61342,46620,-6.4,0.78,18648,14722,7,3.37,0.92,0,0.0453,1
TXN_0097,2026-04-08,Expense,32137,-32137,1285,46277,32137,2.78,0.91,12855,14140,8,3.44,0.95,0,0.0218,1
TXN_0098,2026-04-09,Asset,15699,3140,1884,6280,3140,30,1.04,1256,3140,9,3.51,0.98,0,0.0086,1
TXN_0099,2026-04-10,Liability,8051,-1208,-2657,2415,3623,-110.02,1.17,1449,-1208,10,3.58,0.93,0,0.0025,1
TXN_0100,2026-04-11,Revenue,5464,5464,1257,5464,3005,23.01,1.3,1202,2459,11,0.15,0.96,0,0.0004,1
